First Name,Last Name,Email,Phone,Gender,Department,Job Title,Years Of Experience,Salary
Jose,Lopez,joselopez0194@slingacademy.com,+1-971-533-4552x1542,male,Product,Web Developer,2,6000.0
Diane,Carter,dianecarter1345@slingacademy.com,881.633.0107,female,Human Resource,HR Manager,13,11500.0
Sherry,Foster,sherryfoster2572@slingacademy.com,001-966-861-0065x493,female,Product,Tester,8,11000.0
Brenda,Fisher,brendafisher3114@slingacademy.com,001-574-564-4648,female,Product,Project Manager,14,17000.0
Sharon,Hunter,sharonhunter4898@slingacademy.com,5838355842,female,Product,Machine Learning Engineer,7,10500.0
Kimberly,Jacobs,kimberlyjacobs5924@slingacademy.com,053-913-2609,female,Product,Tester,6,9000.0
Brianna,Marshall,briannamarshall6448@slingacademy.com,701-932-8553,female,Product,Mobile Developer,3,7500.0
Karen,Tate,karentate7771@slingacademy.com,001-889-992-5260x62725,female,Product,Web Developer,5,7500.0
Jillian,Byrd,jillianbyrd8138@slingacademy.com,077-635-0084x1647,female,Product,Web Developer,14,13000.0
Michael,Sharp,michaelsharp9813@slingacademy.com,(848)212-0230,male,Product,Project Manager,12,16000.0
Chad,Mckee,chadmckee10225@slingacademy.com,001-085-315-6112x464,male,Product,Mobile Developer,9,9500.0
Robert,Simpson,robertsimpson11340@slingacademy.com,496-469-5331x659,male,Product,Mobile Developer,1,6500.0
George,Mckenzie,georgemckenzie12490@slingacademy.com,(843)416-2489,male,Product,Designer,15,15500.0
Kelly,Smith,kellysmith13393@slingacademy.com,+1-380-230-4166,female,Human Resource,HR Manager,12,11000.0
David,Crawford,davidcrawford14904@slingacademy.com,(848)716-0019x0240,male,Product,Machine Learning Engineer,7,11500.0
Carrie,Benson,carriebenson15369@slingacademy.com,+1-368-801-2914x8616,female,Product,DevOps Engineer,10,13000.0
Nicole,Smith,nicolesmith16537@slingacademy.com,289.372.5080x2156,female,Product,Machine Learning Engineer,8,12000.0
Nicole,Jimenez,nicolejimenez17569@slingacademy.com,001-535-827-3787x317,female,Product,Machine Learning Engineer,13,11500.0
Sheila,Boyle,sheilaboyle18433@slingacademy.com,3027626274,female,Product,DevOps Engineer,9,13500.0
Brianna,Moss,briannamoss19877@slingacademy.com,+1-529-287-4857x163,female,Product,Designer,9,10500.0
Taylor,Garner,taylorgarner20845@slingacademy.com,931-244-1612x38767,female,Product,DevOps Engineer,2,8000.0
Michael,Padilla,michaelpadilla21474@slingacademy.com,(787)446-1738,male,Product,Designer,14,12000.0
Yvette,Walker,yvettewalker22675@slingacademy.com,154-489-0248,female,Product,Mobile Developer,3,8500.0
Justin,Pena,justinpena23576@slingacademy.com,+1-099-174-5458x294,male,Product,Machine Learning Engineer,7,10500.0
Vanessa,Reynolds,vanessareynolds24161@slingacademy.com,+1-357-911-9617x44729,female,Product,Mobile Developer,7,10500.0
Rebecca,Suarez,rebeccasuarez25205@slingacademy.com,+1-121-053-2698x314,female,Product,Web Developer,7,8500.0
Thomas,Ellis,thomasellis26289@slingacademy.com,029.476.5817x88014,male,Human Resource,HR Manager,2,8000.0
Samantha,Porter,samanthaporter27174@slingacademy.com,+1-508-187-4826,female,Product,Mobile Developer,10,10000.0
Danielle,Reyes,daniellereyes28875@slingacademy.com,(725)355-0896x3876,female,Product,Web Developer,15,13500.0
Brian,Kirby,briankirby29151@slingacademy.com,458.110.0220x9710,male,Product,Project Manager,14,16000.0
Tammy,Walker,tammywalker30764@slingacademy.com,+1-810-034-9706x602,female,Product,Mobile Developer,14,14000.0
Billy,Stewart,billystewart31889@slingacademy.com,745-157-5520,male,Product,Tester,4,8000.0
Terry,Parker,terryparker32794@slingacademy.com,255.599.0102,male,Product,Mobile Developer,13,13500.0
Robert,Hogan,roberthogan33285@slingacademy.com,1138662041,male,Human Resource,HR Manager,5,9500.0
Dawn,Pham,dawnpham34617@slingacademy.com,(106)836-9118x102,female,Product,Web Developer,14,14000.0
Karen,Duke,karenduke35417@slingacademy.com,622.245.2756,female,Product,DevOps Engineer,6,10000.0
Julian,Thompson,julianthompson36557@slingacademy.com,392.181.9671x23227,male,Product,Project Manager,9,13500.0
David,Perry,davidperry37212@slingacademy.com,+1-921-685-9612x0086,male,Product,Machine Learning Engineer,11,13500.0
Samuel,Smith,samuelsmith38630@slingacademy.com,(110)771-1347x58805,male,Product,Machine Learning Engineer,3,9500.0
Eric,Randolph,ericrandolph39871@slingacademy.com,001-048-278-1814x8904,male,Product,DevOps Engineer,1,8500.0
Vanessa,Keller,vanessakeller40877@slingacademy.com,903-521-4220x53915,female,Human Resource,HR Manager,6,9000.0
Gail,Salas,gailsalas41287@slingacademy.com,088.890.2450x1927,female,Product,Mobile Developer,4,7000.0
Alexander,Archer,alexanderarcher42883@slingacademy.com,001-335-037-7267x43704,male,Product,Machine Learning Engineer,2,9000.0
Claire,Wagner,clairewagner43632@slingacademy.com,001-038-830-2184x508,female,Product,Designer,12,14000.0
Cynthia,Howard,cynthiahoward44250@slingacademy.com,(940)475-4836,female,Product,Project Manager,6,11000.0
Brett,Friedman,brettfriedman45278@slingacademy.com,+1-548-885-3476x195,male,Human Resource,HR Manager,15,13500.0
Shaun,Harris,shaunharris46949@slingacademy.com,(279)621-2475,male,Product,Web Developer,6,8000.0
Jason,Morris,jasonmorris47690@slingacademy.com,001-588-064-2677x4053,male,Product,Designer,13,13500.0
Jesse,Mcdaniel,jessemcdaniel48658@slingacademy.com,600-434-1206x901,male,Product,Tester,12,13000.0
Jeffrey,Torres,jeffreytorres49247@slingacademy.com,547-005-1763x2506,male,Human Resource,HR Manager,5,7500.0
Bradley,Garcia,bradleygarcia50717@slingacademy.com,(267)794-5965,male,Product,Machine Learning Engineer,8,12000.0
Brooke,Walker,brookewalker51550@slingacademy.com,954.740.2159,female,Product,Mobile Developer,6,9000.0
Jennifer,Boyd,jenniferboyd52833@slingacademy.com,001-199-903-4307x52539,female,Product,Mobile Developer,15,13500.0
Daniel,Cooper,danielcooper53864@slingacademy.com,001-075-516-4089x887,male,Product,Tester,10,11000.0
Kevin,Robinson,kevinrobinson54477@slingacademy.com,989.611.2546,male,Product,Designer,9,12500.0
Tiffany,Novak,tiffanynovak55904@slingacademy.com,528-213-5280x73418,female,Product,Machine Learning Engineer,13,11500.0
Sophia,Coleman,sophiacoleman56149@slingacademy.com,101.121.4803x8420,female,Product,Web Developer,12,11000.0
Jodi,Harris,jodiharris57674@slingacademy.com,001-466-805-0485,female,Product,DevOps Engineer,5,11500.0
Melissa,Calhoun,melissacalhoun58456@slingacademy.com,001-931-707-3027,female,Product,DevOps Engineer,1,9500.0
Aaron,Tran,aarontran59100@slingacademy.com,+1-121-704-1976x1624,male,Product,Web Developer,6,9000.0
John,Aguirre,johnaguirre60609@slingacademy.com,+1-159-954-5997x959,male,Product,Mobile Developer,5,8500.0
David,Morrison,davidmorrison61323@slingacademy.com,001-256-780-2930x98623,male,Human Resource,HR Manager,5,7500.0
Amanda,Thomas,amandathomas62534@slingacademy.com,001-629-462-1944,female,Product,DevOps Engineer,14,14000.0
Samuel,Spencer,samuelspencer63121@slingacademy.com,(025)089-0360,male,Product,Web Developer,5,8500.0
